,N°,L,H,rect,≠
468,40.140,38,57,16x16,
469,40.150,35,92,phi12,
470,40.151,35,120,12x12,
471,40.153,25,107,16x16,
472,40.154,28,142,16x16,
473,40.155,35,148,20x20,
474,40.156,85,132,phi16,
475,40.157,64,134,phi26,
476,40.159,36,145,36,
477,40.162,60,105,16x16,
478,40.170,60,200,12x12,
479,40.182,50,155,16x16,
480,40.183,,160,12x12,
481,40.200,22,80,phi22,
482,40.202,55,90,8x16,
483,40.210,15,82,15x15,
484,40.211,18,110,18x18,
485,40.300,70,165,,
486,41.001,40,39,"12,5x12,5",
487,41.002,40,67,"12,5x12,5",
488,41.002.01,40,67,,
489,41.003,45,44,"14,5x14,5",
490,41.004,45,67,"14,5x14,5",
491,41.005,39,40,"phi14,5",
492,41.006,40,67,"phi14,5",
493,41.007,45,44,"16,5x16,5",
494,41.008,45,67,"16,5x16,5",
495,41.011,45,44,"phi16,5",
496,41.012,45,67,"phi16,5",
497,41.021,38,40,"12,5x12,5",
498,41.022,38,65,"12,5x12,5",
499,41.023,38,40,"14,5x14,5",
500,41.024,38,65,"14,5x14,5",
501,41.025,38,40,"16,5x16,5",
502,41.026,38,65,"16,5x16,5",
503,41.050,69,80,"phi35,5",
504,41.060,69,80,"30,5",
505,41.070,63,215,x,
506,,,,"30,5",
507,,,,27x27,
508,41.102,40,22,"12,5x12,5",
509,41.104,40,22,"14,5x",
510,41.105,40,22,"14,5",
511,41.106,45,25,"16,5x16,5",
512,41.111,35,25,"21,5x21,5",
513,41.114,40,22,phi13,
514,41.115,40,22,"phi14,5",
515,,,,"phi16,5",
516,41.202,33,22,"12,5x12,5",
517,41.204,38,22,"14,5x14,5",
518,41.205,38,22,"16,5x16,5",
519,41.206,55,35,"20,5x20,5",
520,41.207,55,35,"25,5x25,5",
521,41.306,35,70,"14,5x14,5",
522,41.307,35,130,"14,5x14,5",
523,41.315,42,75,16x16,
524,41.316,48,148,16x16,
525,41.317,38,75,phi16,
526,41.318,38,125,phi16,
527,41.400,28,140,phi12,
528,41.401,26,140,12x12,
529,41.402,25,160,12x12,
530,41.403,35,80,14x14,
531,41.407,30,70,12,
532,41.408,35,75,-,
533,41.409,35,150,14,
534,,,,16,
535,,,,-,
536,,,,20,
537,,,,20,
538,,,,-,
539,,,,30,
540,41.501,40,39,"12,5x12,5",
541,41.502,40,67,"12,5x12,5",
